version,date
32.0,2014-09-02
32.0.1,2014-09-12
32.0.2,2014-09-18
32.0.3,2014-09-24
33.0,2014-10-13
33.0.1,2014-10-24
33.0.2,2014-10-28
33.0.3,2014-11-06
33.1,2014-11-10
33.1.1,2014-11-14
34.0,2014-12-01
34.0.5,2014-12-01
35.0,2015-01-13
35.0.1,2015-01-26
36.0,2015-02-24
36.0.1,2015-03-05
36.0.3,2015-03-20
36.0.4,2015-03-21
37.0,2015-03-31
37.0.1,2015-04-03
37.0.2,2015-04-20
38.0,2015-05-12
38.0.1,2015-05-14
38.0.5,2015-06-02
39.0,2015-07-02
39.0.3,2015-08-06
40.0,2015-08-11
40.0.2,2015-08-13
40.0.3,2015-08-27
41.0,2015-09-22
41.0.1,2015-09-30
41.0.2,2015-10-15
42.0,2015-11-03
43.0,2015-12-15
43.0.1,2015-12-18
43.0.2,2015-12-22
43.0.3,2015-12-28
43.0.4,2016-01-06
44.0,2016-01-26
44.0.1,2016-02-08
44.0.2,2016-02-11
45.0,2016-03-08
45.0.1,2016-03-16
45.0.2,2016-04-11
46.0,2016-04-26
46.0.1,2016-05-03
47.0,2016-06-07
47.0.1,2016-06-28
48.0,2016-08-02
48.0.1,2016-08-18
48.0.2,2016-08-24
49.0,2016-09-20
49.0.1,2016-09-23
49.0.2,2016-10-20
47.0.2,2016-11-01
50.0,2016-11-15
