version,expiration_us
4.5a1,1419674828470000
4.5a2,1419674828470000
4.5a3,1419674828470000
4.5a4,1419674828470000
4.5a5,1419674828470000
4.5,1419674828470000
4.5.1,1419674828470000
5.0a1,1419674828470000
4.5.2,1419674828470000
5.0a2,1419674828470000
4.5.3,1419674828470000
5.0a3,1436005107656000
5.0a4,1436005107656000
5.0,1447296559005000
5.5a1,1447296559005000
5.0.1,1447296559005000
5.0.2,1447296559005000
5.5a2,1447296559005000
5.0.3,1450521015670000
5.5a3,1450521015670000
5.0.4,1454150236697000
5.5a4,1454150236697000
5.0.5,1455968552302000
5.0.6,1455968552302000
5.5a5,1455968552302000
5.5a5-hardened,1455968552302000
5.0.7,1455968552302000
5.5a6,1455968552302000
5.5a6-hardened,1455968552302000
5.5,1461412086882000
6.0a1,1461412086882000
6.0a1-hardened,1461412086882000
5.5.1,1461412086882000
5.5.2,1461412086882000
6.0a2,1461412086882000
6.0a2-hardened,1461412086882000
5.5.3,1462016822237000
6.0a3,1462016822237000
6.0a3-hardened,1462016822237000
5.5.4,1462016822237000
6.0a4,1462016822237000
6.0a4-hardened,1462016822237000
5.5.5,1469273938349000
6.0a5,1467459159229000
6.0a5-hardened,1467459159229000
6.0,1467459159229000
6.0.1,1472903978258000
6.5a1,1473437156700000
6.5a1-hardened,1473437156700000
6.0.2,1472903978258000
6.5a2,1473437156700000
6.5a2-hardened,1473437156700000
6.0.3,1472903978258000
6.0.4,1472903978258000
6.0.5,1481542269357000
6.5a3,1481978914387000
6.5a3-hardened,1481978914387000
6.0.6,1487082474130000
6.5a4,1487082474130000
6.5a4-hardened,1487082474130000
6.0.7,1488897094671000
6.5a5,1488897094671000
6.5a5-hardened,1488897094671000
6.0.8,1489760534178000
6.5a6,1489760534178000
6.5a6-hardened,1489760534178000
